Label,verbs,articles,nouns,pronouns,adjectives,prepositions,particles,conjunctions,unknowns,adverbs,propers,interjections
B152,0.2,0.2,0.2,0.1,0,0,0.2,0,0,0.1,0,0
B153,0.4,0.2,0.2,0,0,0.1,0,0,0,0.1,0,0
B154,0.2608695652,0.2173913043,0.0869565217,0.1304347826,0.0869565217,0,0.1304347826,0.0434782609,0,0.0434782609,0,0
B155,0.25,0.125,0.125,0,0.125,0,0.25,0,0,0.125,0,0
B156,0.25,0.125,0,0,0.125,0,0.125,0.125,0,0.125,0.125,0
B157,0.1764705882,0.1176470588,0.1176470588,0,0.1176470588,0.1764705882,0.0588235294,0.0588235294,0.0588235294,0.0588235294,0.0588235294,0
B158,0.0909090909,0,0.0909090909,0,0.4545454545,0,0.2727272727,0,0,0,0.0909090909,0
B159,0.2222222222,0.1111111111,0,0.1111111111,0.1111111111,0.1111111111,0.1111111111,0.1111111111,0.1111111111,0,0,0
B160,0.0909090909,0.0909090909,0.0909090909,0,0.4545454545,0,0.2727272727,0,0,0,0,0
B161,0.1923076923,0.1538461538,0.1153846154,0.0384615385,0.0384615385,0.0769230769,0.0769230769,0.0384615385,0,0.0769230769,0.1923076923,0
B162,0.2,0.1333333333,0.2,0,0,0,0.0666666667,0.0666666667,0,0.2,0.1333333333,0
B163,0.125,0.125,0.25,0,0.125,0,0.125,0.125,0,0,0.125,0
B164,0.1111111111,0.2222222222,0.3333333333,0,0.1111111111,0.1111111111,0.1111111111,0,0,0,0,0
B165,0.25,0.1,0.1,0.05,0.1,0.1,0.05,0.05,0,0.05,0.15,0
B166,0.2173913043,0.0869565217,0.0434782609,0.0869565217,0.1304347826,0.0434782609,0.0869565217,0.0434782609,0,0.1739130435,0.0869565217,0
B167,0.1944444444,0.1388888889,0.0833333333,0.0555555556,0.1666666667,0.1111111111,0.0833333333,0.0277777778,0.0555555556,0.0555555556,0.0277777778,0
B168,0.0909090909,0.1818181818,0.3636363636,0.0909090909,0,0.1818181818,0.0909090909,0,0,0,0,0
B169,0.1764705882,0.1764705882,0.1764705882,0.0588235294,0.1764705882,0.0588235294,0.1176470588,0.0588235294,0,0,0,0
B170,0.375,0.125,0,0.125,0.125,0,0,0.25,0,0,0,0
B171,0.1538461538,0.1923076923,0.1538461538,0.0384615385,0.2307692308,0.0384615385,0.0384615385,0.0384615385,0,0.0384615385,0.0769230769,0
